Issue Date;S&P GSCI;;;;
2/27/15;421,24;;;;
3/2/15;413,06;;;;
3/3/15;417,21;;;;
3/4/15;417,37;;;;
3/5/15;414,71;;;;
3/6/15;411,78;;;;
3/9/15;410,58;;;;
3/10/15;402,92;;;;
3/11/15;405,51;;;;
3/12/15;403,36;;;;
3/13/15;393,35;;;;
3/16/15;389,73;;;;
3/17/15;386,91;;;;
3/18/15;395,91;;;;
3/19/15;392,02;;;;
3/20/15;398,17;;;;
3/23/15;401,82;;;;
3/24/15;400,17;;;;
3/25/15;404,72;;;;
3/26/15;413,4;;;;
3/27/15;402,71;;;;
3/30/15;402,4;;;;
3/31/15;396,65;;;;
4/1/15;406,71;;;;
4/2/15;400,97;;;;
4/6/15;413,14;;;;
4/7/15;417,87;;;;
4/8/15;404,07;;;;
4/9/15;406,35;;;;
4/10/15;412,37;;;;
4/13/15;412,76;;;;
4/14/15;417,95;;;;
4/15/15;430,83;;;;
4/16/15;434,67;;;;
4/17/15;431,71;;;;
4/20/15;430,82;;;;
4/21/15;426,16;;;;
4/22/15;426,56;;;;
4/23/15;435,07;;;;
4/24/15;435,42;;;;
4/27/15;434,02;;;;
4/28/15;434,67;;;;
4/29/15;440,9;;;;
4/30/15;445,58;;;;
5/1/15;443,83;;;;
5/4/15;444,03;;;;
5/5/15;450,6;;;;
5/6/15;450,97;;;;
5/7/15;441,85;;;;
5/8/15;444,31;;;;
5/11/15;442,28;;;;
5/12/15;450,83;;;;
5/13/15;451,52;;;;
5/14/15;451,84;;;;
5/15/15;450,76;;;;
5/18/15;448,74;;;;
5/19/15;437,39;;;;
5/20/15;440,59;;;;
5/21/15;448,08;;;;
5/22/15;441,93;;;;
5/26/15;432,59;;;;
5/27/15;427,2;;;;
5/28/15;429,16;;;;
5/29/15;439,09;;;;
6/1/15;438,48;;;;
6/2/15;443,49;;;;
6/3/15;436,19;;;;
6/4/15;428,76;;;;
6/5/15;432,88;;;;
6/8/15;432,21;;;;
6/9/15;442,54;;;;
6/10/15;447,25;;;;
6/11/15;442,92;;;;
6/12/15;437,93;;;;
