Date,Inflation,,,,,
2015-03-01,16.7,,,,,
2015-04-01,16.8,,,,,
2015-05-01,16.9,,,,,
2015-06-01,17.1,,,,,
2015-07-01,17.9,,,,,
2015-08-01,17.3,,,,,
2015-09-01,17.3,,,,,
2015-10-01,17.4,,,,,
2015-11-01,17.6,,,,,
2015-12-01,17.7,,,,,
2016-01-01,19.1,,,,,
2016-02-01,18.5,,,,,
2016/03/01,19.2,,,,,
2016/04/01,18.7,,,,,
2016/05/01,18.9,,,,,
2016/06/01,18.4,,,,,
2016/07/01,16.7,,,,,
2016/08/01,16.9,,,,,
2016/09/01,17.2,,,,,
2016/10/01,15.8,,,,,
2016/11/01,15.5,,,,,
2016/12/01,15.4,,,,,
2017/01/01,13.3,,,,,
2017/02/01,13.2,,,,,
2017/03/01,12.8,,,,,
2017/04/01,13.1,,,,,
2017/05/01,12.6,,,,,
2017/06/01,12.1,,,,,
2017/07/01,11.9,,,,,
2017/08/01,12.3,,,,,
2017/09/01,12.1,,,,,
2017/10/01,11.7,,,,,
2017/11/01,11.8,,,,,
2017/12/01,11.8,,,,,
2018/01/01,10.4,,,,,
2018/02/01,10.6,,,,,
2018/03/01,10.4,,,,,
2018/04/01,9.5,,,,,
2018/05/01,9.8,,,,,
2018/06/01,10,,,,,
2018/07/01,9.6,,,,,
2018/08/01,9.9,,,,,
2018/09/01,9.8,,,,,
2018/10/01,9.5,,,,,
2018/11/01,9.3,,,,,
2018/12/01,9.4,,,,,
2019/01/01,9,,,,,
2019/02/01,9.2,,,,,
2019/03/01,9.3,,,,,
2019/04/01,9.5,,,,,
2019/05/01,9.4,,,,,
2019/06/01,9.1,,,,,
2019/07/01,9.4,,,,,
2019/08/01,7.8,,,,,
2019/09/01,7.6,,,,,
2019/10/01,7.7,,,,,
2019/11/01,8.2,,,,,
2019/12/01,7.9,,,,,
2020/01/01,7.8,,,,,
2020/02/01,7.8,,,,,
2020/03/01,7.8,,,,,
2020/04/01,10.6,,,,,
2020/05/01,11.3,,,,,
2020/06/01,11.2,,,,,
2020/07/01,11.4,,,,,
2020/08/01,10.5,,,,,
2020/09/01,10.4,,,,,
2020/10/01,10.1,,,,,
2020/11/01,9.8,,,,,
2020/12/01,10.4,,,,,
2021/01/01,9.9,,,,,
2021/02/01,10.3,,,,,
2021/03/01,10.3,,,,,
2021/04/01,8.5,,,,,
2021/05/01,7.5,,,,,
2021/06/01,7.8,,,,,
2021/07/01,9,,,,,
2021/08/01,9.7,,,,,
2021/09/01,10.6,,,,,
2021/10/01,11,,,,,
2021/11/01,12.2,,,,,
2021/12/01,12.6,,,,,
2022/01/01,13.9,,,,,
2022/02/01,15.7,,,,,
2022/03/01,19.4,,,,,
2022/04/01,23.6,,,,,
2022/05/01,27.6,,,,,
2022/06/01,29.8,,,,,
2022/07/01,31.7,,,,,
2022/08/01,33.9,,,,,
2022/09/01,37.2,,,,,
2022/10/01,40.4,,,,,
2022/11/01,50.3,,,,,
2022/12/01,54.1,,,,,
2023/01/01,53.6,,,,,
2023/02/01,52.8,,,,,
2023/03/01,45,,,,,
2023/04/01,41.2,,,,,
2023/05/01,42.2,,,,,
2023/06/01,42.5,,,,,
2023/07/01,43.1,,,,,
2023/08/01,40.1,,,,,
2023/09/01,38.1,,,,,
2023/10/01,35.2,,,,,
2023/11/01,26.4,,,,,
2023/12/01,23.2,,,,,
2024/01/01,23.5,,,,,
2024/02/01,23.2,,,,,
2024/03/01,25.8,,,,,
2024/04/01,25,,,,,
2024/05/01,23.1,,,,,
2024/06/01,22.8,,,,,
2024/07/01,20.9,,,,,
2024/08/01,20.4,,,,,
2024/09/01,21.5,,,,,
2024/10/01,22.1,,,,,
2024/11/01,23,,,,,
2024/12/01,23.8,,,,,
2025/01/01,23.5,,,,,
2025/02/01,23.1,,,,,
